"Country or Area Code","Country or Area","Year(s)","Variant","Value"
"934","Less developed regions, excluding least developed countries","2020","Medium","5464056.306"
"430","Liberia","2020","Medium","5057.681"
"434","Libya","2020","Medium","6871.292"
"438","Liechtenstein","2020","Medium","38.128"
"440","Lithuania","2020","Medium","2722.289"
"1500","Low-income countries","2020","Medium","775710.641"
"1501","Lower-middle-income countries","2020","Medium","3098235.249"
"442","Luxembourg","2020","Medium","625.978"
"450","Madagascar","2020","Medium","27691.018"
"454","Malawi","2020","Medium","19129.952"
"458","Malaysia","2020","Medium","32365.999"
"462","Maldives","2020","Medium","540.544"
"466","Mali","2020","Medium","20250.833"
"470","Malta","2020","Medium","441.543"
"584","Marshall Islands","2020","Medium","59.19"
"474","Martinique","2020","Medium","375.265"
"478","Mauritania","2020","Medium","4649.658"
"480","Mauritius","2020","Medium","1271.768"
"175","Mayotte","2020","Medium","272.815"
"928","Melanesia","2020","Medium","11122.996"
"484","Mexico","2020","Medium","128932.753"
"954","Micronesia","2020","Medium","548.914"
"583","Micronesia (Fed. States of)","2020","Medium","115.023"
"911","Middle Africa","2020","Medium","179595.134"
"1517","Middle-income countries","2020","Medium","5753051.619"
"492","Monaco","2020","Medium","39.242"
"496","Mongolia","2020","Medium","3278.29"
"499","Montenegro","2020","Medium","628.066"
"500","Montserrat","2020","Medium","4.992"
"901","More developed regions","2020","Medium","1273304.251"
"504","Morocco","2020","Medium","36910.56"
"508","Mozambique","2020","Medium","31255.435"
"104","Myanmar","2020","Medium","54409.8"
"516","Namibia","2020","Medium","2540.905"
"520","Nauru","2020","Medium","10.824"
"524","Nepal","2020","Medium","29136.808"
"528","Netherlands","2020","Medium","17134.872"
"540","New Caledonia","2020","Medium","285.498"
"554","New Zealand","2020","Medium","4822.233"
"558","Nicaragua","2020","Medium","6624.554"
"562","Niger","2020","Medium","24206.644"
"566","Nigeria","2020","Medium","206139.589"
"570","Niue","2020","Medium","1.626"
"1518","No income group available","2020","Medium","2943.57"
"807","North Macedonia","2020","Medium","2083.374"
"912","Northern Africa","2020","Medium","246232.518"
"1833","Northern Africa and Western Asia","2020","Medium","525869.272"
"918","Northern America","2020","Medium","368869.647"
"905","Northern America","2020","Medium","368869.647"
"924","Northern Europe","2020","Medium","106261.249"
"580","Northern Mariana Islands","2020","Medium","57.559"
"578","Norway","2020","Medium","5421.241"
"909","Oceania","2020","Medium","42677.813"
"1835","Oceania (excluding Australia and New Zealand)","2020","Medium","12355.696"
"512","Oman","2020","Medium","5106.626"
"586","Pakistan","2020","Medium","220892.34"
"585","Palau","2020","Medium","18.094"
"591","Panama","2020","Medium","4314.767"
"598","Papua New Guinea","2020","Medium","8947.024"
"600","Paraguay","2020","Medium","7132.538"
"604","Peru","2020","Medium","32971.854"
"608","Philippines","2020","Medium","109581.078"
"616","Poland","2020","Medium","37846.611"
"957","Polynesia","2020","Medium","683.786"
"620","Portugal","2020","Medium","10196.709"
"630","Puerto Rico","2020","Medium","2860.853"
"634","Qatar","2020","Medium","2881.053"
"410","Republic of Korea","2020","Medium","51269.185"
"498","Republic of Moldova","2020","Medium","4033.963"
"638","Réunion","2020","Medium","895.312"
"642","Romania","2020","Medium","19237.691"
"643","Russian Federation","2020","Medium","145934.462"
"646","Rwanda","2020","Medium","12952.218"
"654","Saint Helena","2020","Medium","6.077"
"659","Saint Kitts and Nevis","2020","Medium","53.199"
"662","Saint Lucia","2020","Medium","183.627"
"666","Saint Pierre and Miquelon","2020","Medium","5.794"
"670","Saint Vincent and the Grenadines","2020","Medium","110.94"
"652","Saint-Barthélemy","2020","Medium","9.877"
"663","Saint-Martin (French part)","2020","Medium","38.666"
"882","Samoa","2020","Medium","198.414"
"674","San Marino","2020","Medium","33.931"
"678","Sao Tome and Principe","2020","Medium","219.159"
"682","Saudi Arabia","2020","Medium","34813.871"
"686","Senegal","2020","Medium","16743.927"
"688","Serbia","2020","Medium","8737.371"
"690","Seychelles","2020","Medium","98.347"
"694","Sierra Leone","2020","Medium","7976.983"
"702","Singapore","2020","Medium","5850.342"
"534","Sint Maarten (Dutch part)","2020","Medium","42.876"
"703","Slovakia","2020","Medium","5459.642"
"705","Slovenia","2020","Medium","2078.938"
"1637","Small Island Developing States (SIDS)","2020","Medium","72076.101"
"90","Solomon Islands","2020","Medium","686.884"
"706","Somalia","2020","Medium","15893.222"
"710","South Africa","2020","Medium","59308.69"
"931","South America","2020","Medium","430759.766"
"728","South Sudan","2020","Medium","11193.725"
"920","South-Eastern Asia","2020","Medium","668619.84"
"913","Southern Africa","2020","Medium","67503.635"
"5501","Southern Asia","2020","Medium","1940369.612"
"925","Southern Europe","2020","Medium","152215.23"
